id,code,decor,structure,name,url,price,category,sellUnit,Label,height,width,description,isNew,worktop,thickness,producer,url + code
recRAGN13ttC8xRfM,K538_PN_2800x2070_18,K538,PN,ŁUPEK AROSA JASNY,https://azmproducts.plasmic.run/product/recRAGN13ttC8xRfM,"PLN 331,41",Płyta,CAŁA,,2800,2070,Płyta laminowana,,SE K538 PN,18,Kronospan,"https://azmproducts.plasmic.run/product/recRAGN13ttC8xRfM, K538_PN_2800x2070_18"
recGsVggYqjXocXx3,K539_PN_2800x2070_18,K539,PN,ŁUPEK AROSA CIEMNY,https://azmproducts.plasmic.run/product/recGsVggYqjXocXx3,"PLN 331,41",Płyta,CAŁA,,2800,2070,Płyta laminowana,,SE K539 PN,18,Kronospan,"https://azmproducts.plasmic.run/product/recGsVggYqjXocXx3, K539_PN_2800x2070_18"
recsNsr5KC1329yfe,K540_PN_2800x2070_18,K540,PN,ALBUS SZARY,https://azmproducts.plasmic.run/product/recsNsr5KC1329yfe,"PLN 331,41",Płyta,CAŁA,,2800,2070,Płyta laminowana,,SE K540 PN,18,Kronospan,"https://azmproducts.plasmic.run/product/recsNsr5KC1329yfe, K540_PN_2800x2070_18"
recN5RG7J3fg969Sh,K691_PN_2800x2070_18,K691,PN,GRANADA MIGDAŁOWA,https://azmproducts.plasmic.run/product/recN5RG7J3fg969Sh,"PLN 305,57",Płyta,CAŁA,,2800,2070,Płyta laminowana,checked,,18,Kronospan,"https://azmproducts.plasmic.run/product/recN5RG7J3fg969Sh, K691_PN_2800x2070_18"
recSAGSqkoEVZtGRI,K692_PN_2800x2070_18,K692,PN,GRANADA NIEBIAŃSKA,https://azmproducts.plasmic.run/product/recSAGSqkoEVZtGRI,"PLN 305,57",Płyta,CAŁA,,2800,2070,Płyta laminowana,checked,,18,Kronospan,"https://azmproducts.plasmic.run/product/recSAGSqkoEVZtGRI, K692_PN_2800x2070_18"
recrZ75RKPIloxgNI,K693_PN_2800x2070_18,K693,PN,GRANADA BRĄZOWA,https://azmproducts.plasmic.run/product/recrZ75RKPIloxgNI,"PLN 305,57",Płyta,CAŁA,,2800,2070,Płyta laminowana,checked,,18,Kronospan,"https://azmproducts.plasmic.run/product/recrZ75RKPIloxgNI, K693_PN_2800x2070_18"
recFZD4hDdUJdA8gD,K527_HU_2800x2070_18,K527,HU,DĄB HUDSON BISZKOPTOWY ,https://azmproducts.plasmic.run/product/recFZD4hDdUJdA8gD,"PLN 364,11",Płyta,CAŁA,,2800,2070,Płyta laminowana,,,18,Kronospan,"https://azmproducts.plasmic.run/product/recFZD4hDdUJdA8gD, K527_HU_2800x2070_18"
reckwOsfoYFWwX8y8,K528_HU_2800x2070_18,K528,HU,DĄB HUDSON KASZMIROWY ,https://azmproducts.plasmic.run/product/reckwOsfoYFWwX8y8,"PLN 364,11",Płyta,CAŁA,,2800,2070,Płyta laminowana,,,18,Kronospan,"https://azmproducts.plasmic.run/product/reckwOsfoYFWwX8y8, K528_HU_2800x2070_18"
recxMyS3VoQ5hGlkg,K529_HU_2800x2070_18,K529,HU,DĄB HUDSON ZŁOTY ,https://azmproducts.plasmic.run/product/recxMyS3VoQ5hGlkg,"PLN 364,11",Płyta,CAŁA,,2800,2070,Płyta laminowana,,K529 RW,18,Kronospan,"https://azmproducts.plasmic.run/product/recxMyS3VoQ5hGlkg, K529_HU_2800x2070_18"
recSvyAnEOLKFzlGj,K530_HU_2800x2070_18,K530,HU,DĄB HUDSON AMARETTO ,https://azmproducts.plasmic.run/product/recSvyAnEOLKFzlGj,"PLN 364,11",Płyta,CAŁA,,2800,2070,Płyta laminowana,,,18,Kronospan,"https://azmproducts.plasmic.run/product/recSvyAnEOLKFzlGj, K530_HU_2800x2070_18"
recUDNRWaXprgE6nO,K531_AD_2800x2070_18,K531,AD,KASZTAN ARVADONNA KAMIENNY ,https://azmproducts.plasmic.run/product/recUDNRWaXprgE6nO,"PLN 364,11",Płyta,CAŁA,,2800,2070,Płyta laminowana,,,18,Kronospan,"https://azmproducts.plasmic.run/product/recUDNRWaXprgE6nO, K531_AD_2800x2070_18"
recyOsDjipK26IkX9,K532_AD_2800x2070_18,K532,AD,KASZTAN ARVADONNA,https://azmproducts.plasmic.run/product/recyOsDjipK26IkX9,"PLN 364,11",Płyta,CAŁA,,2800,2070,Płyta laminowana,,,18,Kronospan,"https://azmproducts.plasmic.run/product/recyOsDjipK26IkX9, K532_AD_2800x2070_18"
recp49oVUFB1euXKy,K533_AD_2800x2070_18,K533,AD,KASZTAN ARVADONNA MINK ,https://azmproducts.plasmic.run/product/recp49oVUFB1euXKy,"PLN 364,11",Płyta,CAŁA,,2800,2070,Płyta laminowana,,,18,Kronospan,"https://azmproducts.plasmic.run/product/recp49oVUFB1euXKy, K533_AD_2800x2070_18"
rectbj8iiBa4YURNB,K534_AD_2800x2070_18,K534,AD,KASZTAN ARVADONNA CIEMNY ,https://azmproducts.plasmic.run/product/rectbj8iiBa4YURNB,"PLN 364,11",Płyta,CAŁA,,2800,2070,Płyta laminowana,,,18,Kronospan,"https://azmproducts.plasmic.run/product/rectbj8iiBa4YURNB, K534_AD_2800x2070_18"
recQeANnv6aZRo0rX,K554_HU_2800x2070_18,K554,HU,DĄB HUDSON CZEKOLADOWY ,https://azmproducts.plasmic.run/product/recQeANnv6aZRo0rX,"PLN 364,11",Płyta,CAŁA,,2800,2070,Płyta laminowana,,,18,Kronospan,"https://azmproducts.plasmic.run/product/recQeANnv6aZRo0rX, K554_HU_2800x2070_18"
recCnOmSuHC6caeP2,K694_PV_2800x2070_18,K694,PV,DĄB PRIMAVERA JEDWABNY NOWOŚĆ,https://azmproducts.plasmic.run/product/recCnOmSuHC6caeP2,"PLN 317,96",Płyta,CAŁA,,2800,2070,Płyta laminowana,checked,,18,Kronospan,"https://azmproducts.plasmic.run/product/recCnOmSuHC6caeP2, K694_PV_2800x2070_18"
recqQCU3d7tquqKLB,K695_PV_2800x2070_18,K695,PV,DĄB PRIMAVERA SŁOMKOWY,https://azmproducts.plasmic.run/product/recqQCU3d7tquqKLB,"PLN 317,96",Płyta,CAŁA,,2800,2070,Płyta laminowana,checked,,18,Kronospan,"https://azmproducts.plasmic.run/product/recqQCU3d7tquqKLB, K695_PV_2800x2070_18"
recQVL8Ja7rTbABqM,K696_PV_2800x2070_18,K696,PV,DĄB PRIMAVERA UMBER,https://azmproducts.plasmic.run/product/recQVL8Ja7rTbABqM,"PLN 317,96",Płyta,CAŁA,,2800,2070,Płyta laminowana,checked,,18,Kronospan,"https://azmproducts.plasmic.run/product/recQVL8Ja7rTbABqM, K696_PV_2800x2070_18"
recoMQJvLntbST12F,K697_PV_2800x2070_18,K697,PV,DĄB PRIMAVERA KAKOWY,https://azmproducts.plasmic.run/product/recoMQJvLntbST12F,"PLN 317,96",Płyta,CAŁA,,2800,2070,Płyta laminowana,checked,,18,Kronospan,"https://azmproducts.plasmic.run/product/recoMQJvLntbST12F, K697_PV_2800x2070_18"
